,sentence,label,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وبالطبع؛ لا تعني الإشارة إلى مجالس الثقافة النسوية -من سكينة إلى مَيْ- سوى التأكيد على شيوع وعموم تلك الظاهرة الثقافية العربية؛ إذْ كانت تستقطب كل طبقات وتنوعات المجتمعات الإسلامية عبر تاريخها منذ عهد الصحابة تلك الظاهرة، ومع التحولات السياسية والثقافية الكبرى أضحت تلك الصالونات إحدى أوثق ركائز قصور الحكم وأبرز سمات بيوت الأعيان من مثقفي المجتمع، ومع ظهور صناعة الكتابة والتدوين باتت مكوّنا لازما في أنشطة أسواق الكتب وحوانيت الورّاقين.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,3.264449432369159e-06,1.4769895123557615e-05,3.0155209425811935e-06,1.0397627900385808e-05,1.3506168246616192e-06,2.329174480308345e-06,6.9488094559387e-07,2.5596521432636125e-07,2.40754639625409e-06,1.4730177027994563e-06,3.0803049795381547e-06,5.816563975949366e-07,2.648216791627439e-06,4.282373086464657e-06,1.0507869543267837e-06,8.368284622064193e-05,2.1061140387610194e-07,0.9968035236485793,0.0030321889044585795,3.2959094716698505e-07,2.23383551003395e-05,2.24627520512303e-06,2.966148969710627e-06,3.6495819877975485e-07,1.958103401681558e-07,3.508174040392784e-07
1,أما الفنون والمهارات التي صاحبت هذه الظاهرة -وما ولّدته من شبكات ثقافية واتجاهات أدبية وتوظيفات تعبيرية- فمن الصعب أن ترصد تفاصيلها حصرا؛ فعدا أنها كانت تُسْهم في إنضاج كسب الثقافة وتقوية الآداب وبلورة الأفكار لدى مرتاديها، فإنها كانت كذلك مسرحا لاختراع فنون الأداء الدرامي التمثيلي وما يلزم ذلك على صعيد أساليب التجميل ونمط الأزياء!,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.0096499055876036e-07,3.0768479822382137e-06,2.7664868641441593e-07,1.6062287941145085e-06,2.602167346657395e-07,1.7187659605472927e-06,6.783189154654409e-07,5.4659801727062265e-08,1.078204240077158e-06,4.4252555622784086e-07,6.756098656716524e-07,3.4243732534006676e-07,8.708784378309367e-07,1.983488777203561e-06,3.193896482118794e-07,2.6081628813937172e-05,1.0431778222132472e-07,0.8804631533784985,0.1194638223413856,6.027764379908222e-08,2.8334279459109838e-05,5.431282706918101e-07,3.2149952739310622e-06,3.418434684012688e-07,1.9328837063938398e-07,5.653353170529762e-07
2,"وندرك من ذلك مدى تفطّن المجتمع العربي -منذ عصر الجاهلية- إلى أهمية إيجاد فضاءات عامة لإقامة الفعاليات الشعرية والمهرجانات الخطابية، فقادتهم رحلة البحث تلك إلى اختبار الأسواق خروجا بالشعر والأدب من نطاق التفاعل العائلي واللقاءات المصغرة إلى حيث يلتقي الجميع ويكون التفاعل العامّ على أشدّه، على نحو ما تحققه جلسات التنافس الشعري في ""أسواق العرب"".",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.445021404292969e-07,4.967648000956757e-06,2.444403245619237e-07,7.682415822621219e-07,6.802703245986163e-08,8.554332604078094e-07,2.5891345148620263e-07,1.68728201358454e-08,3.5351499878129834e-07,1.7333663714879012e-07,2.845933088154381e-07,9.539643913310369e-08,5.349654518855008e-07,4.788273587083184e-07,4.793471937100404e-08,3.1331088513909495e-05,1.1219099851930862e-07,0.9570964723694798,0.042850083361874784,5.777248836540697e-08,1.1827990351466813e-05,4.423450729730361e-07,2.4501540663991313e-07,5.341490986841213e-08,3.623502332376222e-08,4.556835375845655e-08
3,وبعيدا عن فضاء الأسواق الجامعة والصاخبة؛ انبرت أطياف المجتمع العربي لعقد مجالس الأدب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع إبداعاتهم، سواء كان ذلك بين جدران البيوت أو في ظلال الكعبة أو في خضم صخب الأسواق، بل وفي الطرقات وخلال الأسفار. وكان ذلك تعبيرا -منذ وقت باكر- عن أن الأدب مادة تداولية من الدرجة الأولى تتخذ من المجالس العامة قنوات مرور لارتباط الجميع بها,JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,3.44851667212825e-06,2.6888321348289423e-05,2.858076804937476e-06,1.989888924589988e-05,1.6372917824038609e-06,2.2852661873769517e-05,3.4585281417583015e-06,1.3345335049319354e-06,1.2590605691389557e-05,4.117162187591123e-06,1.0461052193205848e-05,2.511295617148e-06,5.891093809347955e-06,1.3954850642178728e-05,3.768779393674563e-06,0.00010016726725946612,7.400195897862872e-07,0.03347215945125054,0.9661362052174188,5.648606062054338e-07,0.00012526592084157118,6.5806632316825185e-06,1.8547540919072345e-05,6.173110454285143e-07,2.9355459104995843e-06,5.44543018452677e-07
4,العام المنصرم، صارعت جل متاحف العالم من أجل البقاء، وتوقع أبرز المتخصصين في هذا المجال أن تقفل العديد منها أبوابها إلى الأبد وأن تعلن إفلاسها. لكن تلك الصورة القاتمة لم تكن الوحيدة، فقد انتعشت بالمقابل أنشطة بديلة.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,6.865192396755697e-09,6.148780696380074e-08,8.74688630267605e-09,3.591897455730931e-08,3.4671065788029978e-09,3.3642643264854075e-08,5.4798446306465745e-09,6.767856918806647e-10,1.3788804877083889e-08,7.618497162785097e-09,2.277189761252011e-08,1.0526325591504292e-09,1.7886579786564296e-08,4.009931839711565e-08,5.2069603998038015e-09,5.200151651687267e-06,2.209402294621639e-09,0.9997940930611295,0.0001996817336129437,6.210338633698028e-10,7.091121318252411e-07,7.0800745972940384e-09,3.567053630325784e-08,1.0454195289116165e-09,3.1900273825856714e-09,1.4150488859104497e-09
5,"لجأت العديد من المؤسسات الفنية إلى عرض أعمالها عبر الإنترنت استجابةً لقواعد السلامة والإغلاق الحكومية، لتحول نفسها إلى ما أسماه المنظّر الفني الفرنسي أندريه مالرو ""متاحف بلا جدران"". لكن تجاوز جدران صالات العرض الخاصة بها لم يحلّ النوع الآخر من الحواجز المستعصية داخل المتاحف: الظلم العنصري.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.5936855495302733e-09,1.0660429587438533e-07,5.726462664650987e-09,1.5399422092180693e-08,1.5739848802429787e-09,2.1037469441027886e-08,5.7292580099821285e-09,3.1502228620013e-10,1.5978473637608052e-08,3.90730577528965e-09,5.878886825118714e-09,2.96461208951812e-09,9.863456327018914e-09,2.461386469238649e-08,1.445527896051094e-09,3.807630060181943e-05,9.282286283425656e-10,0.9989440635357782,0.0010167393523747598,1.0853669830474237e-09,8.684310045080519e-07,7.041270858735561e-09,1.5389662439002465e-08,5.636604202209263e-10,3.149476874941715e-09,5.908467111250575e-10
6,"في تقريره نشره موقع ""ذا ريدر"" الأميركي التابع لمعهد ماساتشوستس للتكنولوجيا (Thereader.MITpress)، أشار ديفيد جوسليت إلى أنه على خلفية مقتل جورج فلويد، سلط وابل من التعليقات والمنشورات على مواقع التواصل الاجتماعي الضوء على هذه الحواجز الثقافية، ونوقشت مظاهر العنصرية الممنهجة بين الفنانين الأميركيين المحترفين والمرموقين.",JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.6823589189679597e-05,0.00034110020404605305,9.754003635407019e-06,0.0006661039203339082,2.5605458081249405e-05,0.00011848822643865725,4.5915489675005076e-05,1.956456498236176e-06,0.00019961101335527913,1.1645863022161762e-05,0.0005005932479042465,0.00010020338197688615,1.3986236711346589e-05,0.00029453737276643235,0.000139437933439834,0.0011270480363081486,1.2710520477576269e-05,0.1262616567055415,0.8633906445720109,2.2387708988034444e-06,0.005795440384195447,0.00023188684530375616,0.0006157630188708638,6.280297927825836e-05,8.97045161163786e-06,5.0753184288421895e-06
7,"عندما يتعلق الأمر بالرعاة، فقد كشفت حركة ""إنهاء الاستعمار هنا"" في تحركاتها ضد متحف ""ويتني"" والمتاحف الأخرى، عن مدى تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسة. ومع ذلك، لم يتم إيلاء اهتمام كاف لإمكانية الوصول للفنون، على الرغم من انتعاش فكرة ""المتحف بلا جدران"" .",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,5.928208809247133e-09,1.2422910533290754e-07,1.5488398192686377e-08,2.4357770987096398e-08,3.347801600993308e-09,4.267514425588222e-08,1.0702094938221013e-08,4.945647507131968e-10,2.9602157529722474e-08,9.5214145091138e-09,3.092698458687238e-08,6.002768309471405e-09,2.8995070540625434e-08,4.721920982429428e-08,7.236622312861899e-09,3.171045168810029e-06,2.830542835852034e-09,0.99986467768274,0.00013013462950039377,4.581848792262476e-09,1.579776033398204e-06,2.0294418037406355e-08,1.506908842222264e-08,2.5835750526128877e-09,2.6720063852263767e-09,2.1077614237202786e-09
8,"ونقل عن العضو السابق في اللجنة المالية بالبرلمان العراقي وفي هيئة النزاهة رحيم الدراجي، قوله ""في العراق، لا يصعب العثور على رجال فاسدين، بل الصعب هو العثور على رجال شرفاء. الجميع متورط، لدرجة أن إدانة شخص ما أمر محفوف بالمخاطر. سأكون صريحا، جميع العقود التي اطلعت إليها خلال فترة عملي في اللجنة التي دامت عامين، كانت مزورة"".",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,5.643461300410988e-09,7.610312154353585e-08,1.373268138785948e-09,2.9124215909821047e-08,2.9367178145509436e-09,4.222786530426176e-08,7.327306744985289e-09,7.155798653290876e-10,3.4344395687127927e-08,4.780618874402468e-09,1.8845247683919872e-08,5.6516413404626346e-09,1.4454730886100798e-08,3.0475024247621705e-08,8.407975787119908e-09,9.66496420326241e-07,2.807255217428755e-09,0.9996342435239188,0.00036346851945872694,1.7669706578948936e-09,9.877579943916697e-07,2.3981572943214596e-08,1.6499169595373885e-08,1.9770568730109735e-09,1.953485244102818e-09,2.3055259649067864e-09
9,وتحظى مليشيات أخرى بدعم الأحزاب السياسية أو التيارات الدينية، وأشهرها جيش المهدي التابع للزعيم الشيعي مقتدى الصدر، والحشد الشعبي الذي تشكّل عام 2014 بدعوة من المرجع الشيعي الأعلى في العراق علي السيستاني. وتسيطر هذه المليشيات اليوم على الشارع وتسن القوانين وتمارس صلاحيات الشرطة والجيش العراقيين.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.040942061247735e-08,2.0572924839381913e-07,6.953135182655636e-09,3.4921911325914847e-07,9.150875964220522e-09,6.455597196323398e-08,1.2038375041728324e-08,6.9422200657449405e-09,6.647074291574791e-07,1.2862390825592834e-08,2.543915380178528e-07,2.606314453542818e-07,3.981699713369898e-08,9.552712827134368e-07,3.2946327065551276e-06,4.321010563297192e-06,4.388289397900026e-09,0.9988925127081555,0.0010719006220411662,5.067750638063345e-09,2.3685129851669064e-05,3.200882691809945e-07,8.748667221483397e-07,1.260924982575819e-07,6.610818093672538e-08,6.605527525108049e-09
