,sentence,label,badspelling sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وبالطبع؛ لا تعني الإشارة إلى مجالس الثقافة النسوية -من سكينة إلى مَيْ- سوى التأكيد على شيوع وعموم تلك الظاهرة الثقافية العربية؛ إذْ كانت تستقطب كل طبقات وتنوعات المجتمعات الإسلامية عبر تاريخها منذ عهد الصحابة تلك الظاهرة، ومع التحولات السياسية والثقافية الكبرى أضحت تلك الصالونات إحدى أوثق ركائز قصور الحكم وأبرز سمات بيوت الأعيان من مثقفي المجتمع، ومع ظهور صناعة الكتابة والتدوين باتت مكوّنا لازما في أنشطة أسواق الكتب وحوانيت الورّاقين.,JAZ,وبالطبع لا تعني الاشاره الي مجالس الثقافه النسويه من سكينه الي مي سوي التاكيد علي شيوع وعموم تلك الظاهره الثقافيه العربيه اذ كانت تستقطب كل طبقات وتنوعات المجتمعات الاسلاميه عبر تاريخها منذ عهد الصحابه تلك الظاهره ومع التحولات السياسيه والثقافيه الكبري اضحت تلك الصالونات احدي اوثق ركائز قصور الحكم وابرز سمات بيوت الاعيان من مثقفي المجتمع ومع ظهور صناعه الكتابه والتدوين باتت مكونا لازما في انشطه اسواق الكتب وحوانيت الوراقين,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,0.00015541900224114895,0.0008380097678605717,1.863758162442494e-05,0.0009564637827137961,0.0001706792299634829,0.006181528879544968,0.0018775376680212827,3.48847408487333e-05,0.00875962664363184,0.000617109405938655,0.0005919918449570889,0.0013563936361223013,8.501700864910184e-05,0.0030389471189976518,0.001941269498587498,0.002494934723043928,0.003248471849073423,0.006568990528063116,0.18111854463864926,1.5863984241565965e-05,0.011100036016162823,0.006439284005942563,0.02631107466871157,0.018137762200712452,0.7178210373664967,0.00012048420920011488
1,أما الفنون والمهارات التي صاحبت هذه الظاهرة -وما ولّدته من شبكات ثقافية واتجاهات أدبية وتوظيفات تعبيرية- فمن الصعب أن ترصد تفاصيلها حصرا؛ فعدا أنها كانت تُسْهم في إنضاج كسب الثقافة وتقوية الآداب وبلورة الأفكار لدى مرتاديها، فإنها كانت كذلك مسرحا لاختراع فنون الأداء الدرامي التمثيلي وما يلزم ذلك على صعيد أساليب التجميل ونمط الأزياء!,JAZ,اما الفنون والمهارات التي صاحبت هذه الظاهره وما ولدته من شبكات ثقافيه واتجاهات ادبيه وتوظيفات تعبيريه فمن الصعب ان ترصد تفاصيلها حصرا فعدا انها كانت تسهم في انضاج كسب الثقافه وتقويه الاداب وبلوره الافكار لدي مرتاديها فانها كانت كذلك مسرحا لاختراع فنون الاداء الدرامي التمثيلي وما يلزم ذلك علي صعيد اساليب التجميل ونمط الازياء,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,5.757247847123682e-07,1.2229519352231174e-05,1.7716393510786744e-07,2.8397400651786436e-06,1.192388152144109e-06,3.620079807829355e-05,1.8599108285159898e-05,1.8571279839925298e-07,2.860148863849699e-05,5.957476769528164e-06,1.8434628221581057e-06,1.906386132940508e-05,4.220484266966819e-06,0.00011462382382011121,1.927198329744529e-06,0.00018281181450111888,2.8058590128544106e-05,0.03755506269742789,0.9580480488201131,3.1405071989185083e-07,0.0023165474671319295,1.5938436132915676e-05,0.0003850832649168844,3.86057971220258e-05,0.0011789067212477254,2.384389130418178e-06
2,"وندرك من ذلك مدى تفطّن المجتمع العربي -منذ عصر الجاهلية- إلى أهمية إيجاد فضاءات عامة لإقامة الفعاليات الشعرية والمهرجانات الخطابية، فقادتهم رحلة البحث تلك إلى اختبار الأسواق خروجا بالشعر والأدب من نطاق التفاعل العائلي واللقاءات المصغرة إلى حيث يلتقي الجميع ويكون التفاعل العامّ على أشدّه، على نحو ما تحققه جلسات التنافس الشعري في ""أسواق العرب"".",JAZ,وندرك من ذلك مدي تفطن المجتمع العربي منذ عصر الجاهليه الي اهميه ايجاد فضاءات عامه لاقامه الفعاليات الشعريه والمهرجانات الخطابيه فقادتهم رحله البحث تلك الي اختبار الاسواق خروجا بالشعر والادب من نطاق التفاعل العائلي واللقاءات المصغره الي حيث يلتقي الجميع ويكون التفاعل العام علي اشده علي نحو ما تحققه جلسات التنافس الشعري في اسواق العرب,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,6.735608673451544e-06,0.00019470699279765518,1.0337842363181303e-06,3.212627575822948e-05,5.878190878935062e-06,0.00044597946476725126,0.0002045702177055686,1.5432394506933687e-06,0.0006752916555818382,2.571693693877818e-05,1.307446749355694e-05,2.7067594854472575e-05,2.168441755360217e-05,8.377750513085101e-05,1.315504451475433e-05,0.001150619820376587,0.0005677402917294681,0.01208724494931495,0.022462879725046264,3.926096936650663e-06,0.0007380725432040773,0.0001441747348825021,0.0006013479246246842,0.0007084393244019284,0.9597738820196219,9.33117352496424e-06
3,وبعيدا عن فضاء الأسواق الجامعة والصاخبة؛ انبرت أطياف المجتمع العربي لعقد مجالس الأدب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع إبداعاتهم، سواء كان ذلك بين جدران البيوت أو في ظلال الكعبة أو في خضم صخب الأسواق، بل وفي الطرقات وخلال الأسفار. وكان ذلك تعبيرا -منذ وقت باكر- عن أن الأدب مادة تداولية من الدرجة الأولى تتخذ من المجالس العامة قنوات مرور لارتباط الجميع بها,JAZ,وبعيدا عن فضاء الاسواق الجامعه والصاخبه انبرت اطياف المجتمع العربي لعقد مجالس الادب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع ابداعاتهم سواء كان ذلك بين جدران البيوت او في ظلال الكعبه او في خضم صخب الاسواق بل وفي الطرقات وخلال الاسفار وكان ذلك تعبيرا منذ وقت باكر عن ان الادب ماده تداوليه من الدرجه الاولي تتخذ من المجالس العامه قنوات مرور لارتباط الجميع بها,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.291883053872618e-05,0.00029442876865196717,2.453880416692871e-05,0.00024890957446832074,0.00011414357397461229,0.002292234120428813,0.0010506322059231764,2.494812487794036e-05,0.0020590035326725313,0.00034071373227308774,0.000290374749324406,0.12723744746435786,6.3636380253335e-05,0.004227339305244517,0.00010019524914609232,0.001886039158197397,0.0010634223173156714,0.04639927408513818,0.6986866164296361,1.0545614542647729e-05,0.06257728988172151,0.0013170813742089513,0.046634152485970866,0.0001120258955082969,0.0028798811575671125,2.220718389097425e-05
4,العام المنصرم، صارعت جل متاحف العالم من أجل البقاء، وتوقع أبرز المتخصصين في هذا المجال أن تقفل العديد منها أبوابها إلى الأبد وأن تعلن إفلاسها. لكن تلك الصورة القاتمة لم تكن الوحيدة، فقد انتعشت بالمقابل أنشطة بديلة.,JAZ,العام المنصرم صارعت جل متاحف العالم من اجل البقاء وتوقع ابرز المتخصصين في هذا المجال ان تقفل العديد منها ابوابها الي الابد وان تعلن افلاسها لكن تلك الصوره القاتمه لم تكن الوحيده فقد انتعشت بالمقابل انشطه بديله,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,5.4706086524932795e-09,1.1466250477972506e-07,2.723901212941864e-09,5.220603799327131e-08,9.518803463994857e-09,1.454321386410513e-06,7.753263215357788e-07,9.386097537308346e-10,4.867838164024799e-07,6.38401704031835e-08,5.78134765335054e-08,1.205955391392727e-07,2.3242017253244305e-08,1.6101225939020991e-06,1.6873926456000477e-08,0.0003431127508131056,5.560676878488422e-07,0.9629342721038184,0.036285945634564214,6.528158836589453e-10,0.0004174688064736513,2.422393062165037e-07,1.2831424127524293e-05,3.571810594207383e-08,7.362087984013188e-07,3.95377502508137e-09
5,"لجأت العديد من المؤسسات الفنية إلى عرض أعمالها عبر الإنترنت استجابةً لقواعد السلامة والإغلاق الحكومية، لتحول نفسها إلى ما أسماه المنظّر الفني الفرنسي أندريه مالرو ""متاحف بلا جدران"". لكن تجاوز جدران صالات العرض الخاصة بها لم يحلّ النوع الآخر من الحواجز المستعصية داخل المتاحف: الظلم العنصري.",JAZ,لجات العديد من المؤسسات الفنيه الي عرض اعمالها عبر الانترنت استجابه لقواعد السلامه والاغلاق الحكوميه لتحول نفسها الي ما اسماه المنظر الفني الفرنسي اندريه مالرو متاحف بلا جدران لكن تجاوز جدران صالات العرض الخاصه بها لم يحل النوع الاخر من الحواجز المستعصيه داخل المتاحف الظلم العنصري,Gulf of Aden,SAN,Yemen,Sana'a,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,6.4748138486129966e-06,0.0001371004849913607,4.223690317768124e-06,4.552310891009808e-05,2.6102380948542973e-05,0.0028005666488138967,0.0019802146172395716,2.931174884131835e-06,0.0024342663288033596,9.917827209880625e-05,2.6385672614506432e-05,0.00014925578842383728,1.0368346508290654e-05,0.00041697088024029235,3.5068105034439334e-05,0.001689029688041097,0.0008671374009295677,0.0002965515988846457,0.007637435174621796,5.444911551662593e-06,0.011410308497241046,0.0005000288234203304,0.8311249172031806,0.027364136777880237,0.11089945330542778,3.092630514369023e-05
6,"في تقريره نشره موقع ""ذا ريدر"" الأميركي التابع لمعهد ماساتشوستس للتكنولوجيا (Thereader.MITpress)، أشار ديفيد جوسليت إلى أنه على خلفية مقتل جورج فلويد، سلط وابل من التعليقات والمنشورات على مواقع التواصل الاجتماعي الضوء على هذه الحواجز الثقافية، ونوقشت مظاهر العنصرية الممنهجة بين الفنانين الأميركيين المحترفين والمرموقين.",JAZ,في تقريره نشره موقع ذا ريدر الاميركي التابع لمعهد ماساتشوستس للتكنولوجيا ThereaderMITpress اشار ديفيد جوسليت الي انه علي خلفيه مقتل جورج فلويد سلط وابل من التعليقات والمنشورات علي مواقع التواصل الاجتماعي الضوء علي هذه الحواجز الثقافيه ونوقشت مظاهر العنصريه الممنهجه بين الفنانين الاميركيين المحترفين والمرموقين,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.230705348630627e-06,2.5710627811765475e-05,9.550876110824373e-07,3.2029241376118936e-05,1.5943903043431187e-05,0.00012195544819392991,5.126300695783971e-05,8.260503988917715e-07,0.00021758933797955273,2.3435335931587017e-05,1.2968380555241708e-05,3.821296595175249e-05,5.1397746043786475e-06,0.00014729357740135871,2.181875759922832e-05,0.00018058566299928252,0.0001410154355417227,0.0001996967060987931,0.000863378390287239,1.258489711248049e-06,0.00034722136313371194,3.828605174641146e-05,0.0020987853517906996,0.00011170312347558637,0.9952938939225908,4.803301859656507e-06
7,"عندما يتعلق الأمر بالرعاة، فقد كشفت حركة ""إنهاء الاستعمار هنا"" في تحركاتها ضد متحف ""ويتني"" والمتاحف الأخرى، عن مدى تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسة. ومع ذلك، لم يتم إيلاء اهتمام كاف لإمكانية الوصول للفنون، على الرغم من انتعاش فكرة ""المتحف بلا جدران"" .",JAZ,عندما يتعلق الامر بالرعاه فقد كشفت حركه انهاء الاستعمار هنا في تحركاتها ضد متحف ويتني والمتاحف الاخري عن مدي تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسه ومع ذلك لم يتم ايلاء اهتمام كاف لامكانيه الوصول للفنون علي الرغم من انتعاش فكره المتحف بلا جدران ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.0373722778989053e-08,3.88471106577793e-07,5.858305901757137e-09,2.4858691063540585e-08,1.334224849918841e-08,2.816692660090803e-07,8.294380817095881e-08,1.3536521944727108e-09,1.1263150302056549e-07,5.072230137702601e-08,4.156243741498066e-08,1.844335222309007e-08,1.1689196370651922e-07,1.7671644354401408e-07,1.2321150169023767e-08,1.4827123668484215e-05,7.639276027055666e-08,0.9994392995157507,0.000539333113772882,1.0063152941041947e-08,4.371122994671566e-06,9.667330273915586e-08,5.173192690676062e-07,1.9285113157993165e-08,1.0519006431964886e-07,6.0401980492907275e-09
8,"ونقل عن العضو السابق في اللجنة المالية بالبرلمان العراقي وفي هيئة النزاهة رحيم الدراجي، قوله ""في العراق، لا يصعب العثور على رجال فاسدين، بل الصعب هو العثور على رجال شرفاء. الجميع متورط، لدرجة أن إدانة شخص ما أمر محفوف بالمخاطر. سأكون صريحا، جميع العقود التي اطلعت إليها خلال فترة عملي في اللجنة التي دامت عامين، كانت مزورة"".",JAZ,ونقل عن العضو السابق في اللجنه الماليه بالبرلمان العراقي وفي هيئه النزاهه رحيم الدراجي قوله في العراق لا يصعب العثور علي رجال فاسدين بل الصعب هو العثور علي رجال شرفاء الجميع متورط لدرجه ان ادانه شخص ما امر محفوف بالمخاطر ساكون صريحا جميع العقود التي اطلعت اليها خلال فتره عملي في اللجنه التي دامت عامين كانت مزوره,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.544031992157544e-07,1.4080784123040407e-06,9.498346979343024e-09,8.962243979482368e-07,1.3718585635807333e-07,5.043810213026062e-06,1.043818200158337e-06,2.9660878621153673e-08,1.3575186043961517e-06,4.937607405108613e-07,4.443237139061621e-07,1.5643995837660325e-06,3.970089316082286e-07,3.7122835745586796e-06,3.1892364747997243e-07,4.285163273394785e-05,2.90695025251077e-06,0.8102074914017086,0.18961972721495016,3.3303839773464056e-08,8.859255447520506e-05,2.158581187066056e-06,1.520185812871892e-05,1.953528765186173e-07,3.756698978212617e-06,7.355256830364545e-08
9,وتحظى مليشيات أخرى بدعم الأحزاب السياسية أو التيارات الدينية، وأشهرها جيش المهدي التابع للزعيم الشيعي مقتدى الصدر، والحشد الشعبي الذي تشكّل عام 2014 بدعوة من المرجع الشيعي الأعلى في العراق علي السيستاني. وتسيطر هذه المليشيات اليوم على الشارع وتسن القوانين وتمارس صلاحيات الشرطة والجيش العراقيين.,JAZ,وتحظي مليشيات اخري بدعم الاحزاب السياسيه او التيارات الدينيه واشهرها جيش المهدي التابع للزعيم الشيعي مقتدي الصدر والحشد الشعبي الذي تشكل عام 2014 بدعوه من المرجع الشيعي الاعلي في العراق علي السيستاني وتسيطر هذه المليشيات اليوم علي الشارع وتسن القوانين وتمارس صلاحيات الشرطه والجيش العراقيين,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.909172924080042e-05,0.0001804440755712519,1.4276275707447954e-06,0.00024284644984602034,3.003422854529626e-05,0.000274196016087534,0.0001782752837883992,1.5318946765738956e-05,0.0019593621603912776,6.20141931005316e-05,0.00016514230028886456,0.054292118812634745,0.009475009549665412,0.00997234463529239,0.00076402202213829,0.004702686995093581,0.00013084615728700463,0.03773756634758114,0.14810368825052742,4.754292178488487e-05,0.016404033601682976,0.002267719753884349,0.022684797632138966,0.0038832540424200697,0.6863508033686556,2.541289801663321e-05
