,sentence,label,decap sentence,decap 4 sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وبالطبع؛ لا تعني الإشارة إلى مجالس الثقافة النسوية -من سكينة إلى مَيْ- سوى التأكيد على شيوع وعموم تلك الظاهرة الثقافية العربية؛ إذْ كانت تستقطب كل طبقات وتنوعات المجتمعات الإسلامية عبر تاريخها منذ عهد الصحابة تلك الظاهرة، ومع التحولات السياسية والثقافية الكبرى أضحت تلك الصالونات إحدى أوثق ركائز قصور الحكم وأبرز سمات بيوت الأعيان من مثقفي المجتمع، ومع ظهور صناعة الكتابة والتدوين باتت مكوّنا لازما في أنشطة أسواق الكتب وحوانيت الورّاقين.,JAZ,وبالطبع لا تعني الاشاره الي مجالس الثقافه النسويه من سكينه الي مي سوي التاكيد علي شيوع وعموم تلك الظاهره الثقافيه العربيه اذ كانت تستقطب كل طبقات وتنوعات المجتمعات الاسلاميه عبر تاريخها منذ عهد الصحابه تلك الظاهره ومع التحولات السياسيه والثقافيه الكبري اضحت تلك الصالونات احدي اوثق ركائز قصور الحكم وابرز سمات بيوت الاعيان من مثقفي المجتمع ومع ظهور صناعه الكتابه والتدوين باتت مكونا لازما في انشطه اسواق الكتب وحوانيت الوراقين,الي مجالس الثقافه النسويه من سكينه الي مي سوي التاكيد علي شيوع وعموم تلك الظاهره الثقافيه العربيه اذ كانت تستقطب كل طبقات وتنوعات المجتمعات الاسلاميه عبر تاريخها منذ عهد الصحابه تلك الظاهره ومع التحولات السياسيه والثقافيه الكبري اضحت تلك الصالونات احدي اوثق ركائز قصور الحكم وابرز سمات بيوت الاعيان من مثقفي المجتمع ومع ظهور صناعه الكتابه والتدوين باتت مكونا لازما في انشطه اسواق الكتب وحوانيت الوراقين,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,0.00022696315622547798,0.001049850975782133,3.4193816585187885e-05,0.0014397861648323225,0.00027725284776551943,0.005327803368844075,0.002064730733629954,5.979475782165462e-05,0.009431995526973524,0.0009630137209596651,0.0009027656515709889,0.001575675265309765,0.0001008246684702595,0.003474259286949952,0.003421867595590673,0.002562181986563525,0.0033724105702115487,0.00386559878944561,0.07829859399903853,1.991904290724086e-05,0.01056772842179501,0.007476284128137568,0.026220417939043526,0.03880787747520072,0.798285961384728,0.00017224872561772404
1,أما الفنون والمهارات التي صاحبت هذه الظاهرة -وما ولّدته من شبكات ثقافية واتجاهات أدبية وتوظيفات تعبيرية- فمن الصعب أن ترصد تفاصيلها حصرا؛ فعدا أنها كانت تُسْهم في إنضاج كسب الثقافة وتقوية الآداب وبلورة الأفكار لدى مرتاديها، فإنها كانت كذلك مسرحا لاختراع فنون الأداء الدرامي التمثيلي وما يلزم ذلك على صعيد أساليب التجميل ونمط الأزياء!,JAZ,اما الفنون والمهارات التي صاحبت هذه الظاهره وما ولدته من شبكات ثقافيه واتجاهات ادبيه وتوظيفات تعبيريه فمن الصعب ان ترصد تفاصيلها حصرا فعدا انها كانت تسهم في انضاج كسب الثقافه وتقويه الاداب وبلوره الافكار لدي مرتاديها فانها كانت كذلك مسرحا لاختراع فنون الاداء الدرامي التمثيلي وما يلزم ذلك علي صعيد اساليب التجميل ونمط الازياء,صاحبت هذه الظاهره وما ولدته من شبكات ثقافيه واتجاهات ادبيه وتوظيفات تعبيريه فمن الصعب ان ترصد تفاصيلها حصرا فعدا انها كانت تسهم في انضاج كسب الثقافه وتقويه الاداب وبلوره الافكار لدي مرتاديها فانها كانت كذلك مسرحا لاختراع فنون الاداء الدرامي التمثيلي وما يلزم ذلك علي صعيد اساليب التجميل ونمط الازياء,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.6981169707276702e-09,2.83893966372837e-08,2.9812702089975816e-10,1.138576584378391e-08,2.6345130925077376e-09,9.7457050550818e-08,6.516605813047612e-08,4.497198348316225e-10,1.0310715288345082e-07,1.9697514525423602e-08,7.732647599226387e-09,2.1624416731097733e-07,1.040703819246665e-08,9.213057831401575e-07,6.250047288734907e-09,1.6319575349750155e-06,6.953656440355175e-08,0.00014798273023643424,0.9998045636794841,3.501139009683012e-10,4.221812182799854e-05,1.0967984173970385e-07,1.6948364782980373e-06,1.2219538091532454e-08,2.2168970668918647e-07,2.9755744920605225e-09
2,"وندرك من ذلك مدى تفطّن المجتمع العربي -منذ عصر الجاهلية- إلى أهمية إيجاد فضاءات عامة لإقامة الفعاليات الشعرية والمهرجانات الخطابية، فقادتهم رحلة البحث تلك إلى اختبار الأسواق خروجا بالشعر والأدب من نطاق التفاعل العائلي واللقاءات المصغرة إلى حيث يلتقي الجميع ويكون التفاعل العامّ على أشدّه، على نحو ما تحققه جلسات التنافس الشعري في ""أسواق العرب"".",JAZ,وندرك من ذلك مدي تفطن المجتمع العربي منذ عصر الجاهليه الي اهميه ايجاد فضاءات عامه لاقامه الفعاليات الشعريه والمهرجانات الخطابيه فقادتهم رحله البحث تلك الي اختبار الاسواق خروجا بالشعر والادب من نطاق التفاعل العائلي واللقاءات المصغره الي حيث يلتقي الجميع ويكون التفاعل العام علي اشده علي نحو ما تحققه جلسات التنافس الشعري في اسواق العرب,تفطن المجتمع العربي منذ عصر الجاهليه الي اهميه ايجاد فضاءات عامه لاقامه الفعاليات الشعريه والمهرجانات الخطابيه فقادتهم رحله البحث تلك الي اختبار الاسواق خروجا بالشعر والادب من نطاق التفاعل العائلي واللقاءات المصغره الي حيث يلتقي الجميع ويكون التفاعل العام علي اشده علي نحو ما تحققه جلسات التنافس الشعري في اسواق العرب,Maghreb,TRI,Libya,Tripoli,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,6.742917265124576e-06,0.0001094305991974571,6.409053825700994e-07,4.95400155458302e-05,4.774297718089228e-06,0.0006149155278106903,0.0002872032262248371,1.3285018270806168e-06,0.001570850946732034,2.863978582220585e-05,1.3919455348221707e-05,9.745093680007299e-05,1.0028808669208134e-05,0.00027054617616643635,1.595902116785681e-05,0.0015185016327850828,0.0007343020198437618,0.005595359811975021,0.01571937652252911,1.1086208087257e-06,0.11799588855429491,0.0002822792454790547,0.0010692574847480712,0.0005822655363299735,0.8534132858653436,6.403584185048193e-06
3,وبعيدا عن فضاء الأسواق الجامعة والصاخبة؛ انبرت أطياف المجتمع العربي لعقد مجالس الأدب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع إبداعاتهم، سواء كان ذلك بين جدران البيوت أو في ظلال الكعبة أو في خضم صخب الأسواق، بل وفي الطرقات وخلال الأسفار. وكان ذلك تعبيرا -منذ وقت باكر- عن أن الأدب مادة تداولية من الدرجة الأولى تتخذ من المجالس العامة قنوات مرور لارتباط الجميع بها,JAZ,وبعيدا عن فضاء الاسواق الجامعه والصاخبه انبرت اطياف المجتمع العربي لعقد مجالس الادب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع ابداعاتهم سواء كان ذلك بين جدران البيوت او في ظلال الكعبه او في خضم صخب الاسواق بل وفي الطرقات وخلال الاسفار وكان ذلك تعبيرا منذ وقت باكر عن ان الادب ماده تداوليه من الدرجه الاولي تتخذ من المجالس العامه قنوات مرور لارتباط الجميع بها,الجامعه والصاخبه انبرت اطياف المجتمع العربي لعقد مجالس الادب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع ابداعاتهم سواء كان ذلك بين جدران البيوت او في ظلال الكعبه او في خضم صخب الاسواق بل وفي الطرقات وخلال الاسفار وكان ذلك تعبيرا منذ وقت باكر عن ان الادب ماده تداوليه من الدرجه الاولي تتخذ من المجالس العامه قنوات مرور لارتباط الجميع بها,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.0745786911440994e-05,0.00029174986977626496,2.3205105347842766e-05,0.00024723652881158416,0.0001262753214223127,0.0021212839038773053,0.0011094910375003357,2.0546393918221263e-05,0.0026440155529629463,0.0003399872509831113,0.000252312000935682,0.13312553916410635,6.662424636078975e-05,0.003911804197467809,0.00010204954477640115,0.0015252837318883595,0.0010797958412836874,0.03412395427773751,0.6717105665107947,8.484689510803673e-06,0.07037609234250422,0.0013956679172117006,0.07136698195983697,0.0001385128140108063,0.003825335316506156,2.645869355662792e-05
4,العام المنصرم، صارعت جل متاحف العالم من أجل البقاء، وتوقع أبرز المتخصصين في هذا المجال أن تقفل العديد منها أبوابها إلى الأبد وأن تعلن إفلاسها. لكن تلك الصورة القاتمة لم تكن الوحيدة، فقد انتعشت بالمقابل أنشطة بديلة.,JAZ,العام المنصرم صارعت جل متاحف العالم من اجل البقاء وتوقع ابرز المتخصصين في هذا المجال ان تقفل العديد منها ابوابها الي الابد وان تعلن افلاسها لكن تلك الصوره القاتمه لم تكن الوحيده فقد انتعشت بالمقابل انشطه بديله,متاحف العالم من اجل البقاء وتوقع ابرز المتخصصين في هذا المجال ان تقفل العديد منها ابوابها الي الابد وان تعلن افلاسها لكن تلك الصوره القاتمه لم تكن الوحيده فقد انتعشت بالمقابل انشطه بديله,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,6.63064311127821e-08,1.186955375036739e-06,3.317800196079687e-08,7.224246277751618e-07,1.5061691936273585e-07,2.3989787188631835e-05,1.441282315838534e-05,1.1673198947043014e-08,7.092957113510162e-06,9.404310250444497e-07,7.654913256128212e-07,2.441665708998264e-06,2.2079204207260706e-07,2.983390391536588e-05,2.1563630841699082e-07,0.0026281722470582005,1.4935472690538487e-05,0.14421548822626845,0.8487457175284895,6.827021968547598e-09,0.003909382542443368,3.8009532334411853e-06,0.00038484881276646814,5.781136110123626e-07,1.4927369896376915e-05,5.726418060407986e-08
5,"لجأت العديد من المؤسسات الفنية إلى عرض أعمالها عبر الإنترنت استجابةً لقواعد السلامة والإغلاق الحكومية، لتحول نفسها إلى ما أسماه المنظّر الفني الفرنسي أندريه مالرو ""متاحف بلا جدران"". لكن تجاوز جدران صالات العرض الخاصة بها لم يحلّ النوع الآخر من الحواجز المستعصية داخل المتاحف: الظلم العنصري.",JAZ,لجات العديد من المؤسسات الفنيه الي عرض اعمالها عبر الانترنت استجابه لقواعد السلامه والاغلاق الحكوميه لتحول نفسها الي ما اسماه المنظر الفني الفرنسي اندريه مالرو متاحف بلا جدران لكن تجاوز جدران صالات العرض الخاصه بها لم يحل النوع الاخر من الحواجز المستعصيه داخل المتاحف الظلم العنصري,الفنيه الي عرض اعمالها عبر الانترنت استجابه لقواعد السلامه والاغلاق الحكوميه لتحول نفسها الي ما اسماه المنظر الفني الفرنسي اندريه مالرو متاحف بلا جدران لكن تجاوز جدران صالات العرض الخاصه بها لم يحل النوع الاخر من الحواجز المستعصيه داخل المتاحف الظلم العنصري,Gulf of Aden,SAN,Yemen,Sana'a,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,5.217091154965667e-06,0.00012611128988692768,3.3589714335059425e-06,3.509897477464875e-05,2.0138801038263277e-05,0.0024970268482303864,0.0016539836374593116,2.3739814006539267e-06,0.002279539067756493,8.288294816972897e-05,2.138843322477395e-05,0.00012836958512697433,9.976919536842461e-06,0.0003628536921518704,2.7515389780871543e-05,0.0011846168036324723,0.0008266710681227225,0.0001973300755280284,0.005400106952463908,5.641884038595561e-06,0.005351593573576418,0.0004136060936458445,0.8365061755291323,0.03242172064439497,0.11039998032878567,3.672141555299285e-05
6,"في تقريره نشره موقع ""ذا ريدر"" الأميركي التابع لمعهد ماساتشوستس للتكنولوجيا (Thereader.MITpress)، أشار ديفيد جوسليت إلى أنه على خلفية مقتل جورج فلويد، سلط وابل من التعليقات والمنشورات على مواقع التواصل الاجتماعي الضوء على هذه الحواجز الثقافية، ونوقشت مظاهر العنصرية الممنهجة بين الفنانين الأميركيين المحترفين والمرموقين.",JAZ,في تقريره نشره موقع ذا ريدر الاميركي التابع لمعهد ماساتشوستس للتكنولوجيا ThereaderMITpress اشار ديفيد جوسليت الي انه علي خلفيه مقتل جورج فلويد سلط وابل من التعليقات والمنشورات علي مواقع التواصل الاجتماعي الضوء علي هذه الحواجز الثقافيه ونوقشت مظاهر العنصريه الممنهجه بين الفنانين الاميركيين المحترفين والمرموقين,ذا ريدر الاميركي التابع لمعهد ماساتشوستس للتكنولوجيا ThereaderMITpress اشار ديفيد جوسليت الي انه علي خلفيه مقتل جورج فلويد سلط وابل من التعليقات والمنشورات علي مواقع التواصل الاجتماعي الضوء علي هذه الحواجز الثقافيه ونوقشت مظاهر العنصريه الممنهجه بين الفنانين الاميركيين المحترفين والمرموقين,Gulf of Aden,SAN,Yemen,Sana'a,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.6835325409627822e-06,9.487655077984839e-06,7.466947844017369e-07,2.3644861311035795e-05,1.131487104647579e-05,0.00010071959086607857,6.14401427187241e-05,5.936661302219302e-07,0.0002113564016799794,1.816876137729131e-05,7.706159471764087e-06,5.3704093361004284e-05,1.6636272371014736e-06,0.00021038734590393918,1.525474571657561e-05,0.00015971026175508533,0.00013610775367724635,0.00010716636839066163,0.0010553211798868208,4.181842234608037e-07,0.0007394423360241903,4.843721945553734e-05,0.509951141420619,5.577124179141141e-05,0.487015230509467,2.3813754860220766e-06
7,"عندما يتعلق الأمر بالرعاة، فقد كشفت حركة ""إنهاء الاستعمار هنا"" في تحركاتها ضد متحف ""ويتني"" والمتاحف الأخرى، عن مدى تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسة. ومع ذلك، لم يتم إيلاء اهتمام كاف لإمكانية الوصول للفنون، على الرغم من انتعاش فكرة ""المتحف بلا جدران"" .",JAZ,عندما يتعلق الامر بالرعاه فقد كشفت حركه انهاء الاستعمار هنا في تحركاتها ضد متحف ويتني والمتاحف الاخري عن مدي تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسه ومع ذلك لم يتم ايلاء اهتمام كاف لامكانيه الوصول للفنون علي الرغم من انتعاش فكره المتحف بلا جدران ,فقد كشفت حركه انهاء الاستعمار هنا في تحركاتها ضد متحف ويتني والمتاحف الاخري عن مدي تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسه ومع ذلك لم يتم ايلاء اهتمام كاف لامكانيه الوصول للفنون علي الرغم من انتعاش فكره المتحف بلا جدران ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,9.989448898902067e-09,3.831371977062092e-07,5.1889274037314334e-09,2.415834136816473e-08,1.2596930772390848e-08,3.0002521760892297e-07,8.925975447422553e-08,1.3547990800109074e-09,1.0555082247200802e-07,4.7364027420164604e-08,4.3838265563420323e-08,1.6627741941831173e-08,8.597000267787506e-08,1.5385332528941484e-07,1.3121027149109692e-08,1.4005775597441549e-05,6.092162614085544e-08,0.9996910614988321,0.00028932438662203244,8.182898076062305e-09,3.554997307781466e-06,8.860938693597742e-08,4.880908284842144e-07,1.3592143642196625e-08,9.709357473682934e-08,4.815353033814753e-09
8,"ونقل عن العضو السابق في اللجنة المالية بالبرلمان العراقي وفي هيئة النزاهة رحيم الدراجي، قوله ""في العراق، لا يصعب العثور على رجال فاسدين، بل الصعب هو العثور على رجال شرفاء. الجميع متورط، لدرجة أن إدانة شخص ما أمر محفوف بالمخاطر. سأكون صريحا، جميع العقود التي اطلعت إليها خلال فترة عملي في اللجنة التي دامت عامين، كانت مزورة"".",JAZ,ونقل عن العضو السابق في اللجنه الماليه بالبرلمان العراقي وفي هيئه النزاهه رحيم الدراجي قوله في العراق لا يصعب العثور علي رجال فاسدين بل الصعب هو العثور علي رجال شرفاء الجميع متورط لدرجه ان ادانه شخص ما امر محفوف بالمخاطر ساكون صريحا جميع العقود التي اطلعت اليها خلال فتره عملي في اللجنه التي دامت عامين كانت مزوره,في اللجنه الماليه بالبرلمان العراقي وفي هيئه النزاهه رحيم الدراجي قوله في العراق لا يصعب العثور علي رجال فاسدين بل الصعب هو العثور علي رجال شرفاء الجميع متورط لدرجه ان ادانه شخص ما امر محفوف بالمخاطر ساكون صريحا جميع العقود التي اطلعت اليها خلال فتره عملي في اللجنه التي دامت عامين كانت مزوره,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.848359420781395e-07,1.7193727719290776e-06,1.217947115441828e-08,1.0648601528242582e-06,1.8002147899892052e-07,7.678010417902816e-06,1.5820463986148216e-06,3.244152109996239e-08,2.2195292564528695e-06,6.719195687102555e-07,5.572124438030082e-07,2.2698626868963002e-06,5.236242914541536e-07,5.321152709098014e-06,3.876557094134384e-07,5.379146430861321e-05,4.09548883364875e-06,0.8098630434010075,0.18989794325753315,4.293337932657306e-08,0.00012354978181291647,2.5772085090841387e-06,2.320194171521357e-05,2.791366427728869e-07,6.963474496454436e-06,1.0718694101069922e-07
9,وتحظى مليشيات أخرى بدعم الأحزاب السياسية أو التيارات الدينية، وأشهرها جيش المهدي التابع للزعيم الشيعي مقتدى الصدر، والحشد الشعبي الذي تشكّل عام 2014 بدعوة من المرجع الشيعي الأعلى في العراق علي السيستاني. وتسيطر هذه المليشيات اليوم على الشارع وتسن القوانين وتمارس صلاحيات الشرطة والجيش العراقيين.,JAZ,وتحظي مليشيات اخري بدعم الاحزاب السياسيه او التيارات الدينيه واشهرها جيش المهدي التابع للزعيم الشيعي مقتدي الصدر والحشد الشعبي الذي تشكل عام 2014 بدعوه من المرجع الشيعي الاعلي في العراق علي السيستاني وتسيطر هذه المليشيات اليوم علي الشارع وتسن القوانين وتمارس صلاحيات الشرطه والجيش العراقيين,الاحزاب السياسيه او التيارات الدينيه واشهرها جيش المهدي التابع للزعيم الشيعي مقتدي الصدر والحشد الشعبي الذي تشكل عام 2014 بدعوه من المرجع الشيعي الاعلي في العراق علي السيستاني وتسيطر هذه المليشيات اليوم علي الشارع وتسن القوانين وتمارس صلاحيات الشرطه والجيش العراقيين,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,9.941958433399845e-06,4.6966597949975e-05,3.8999090850786383e-07,5.30380654608777e-05,6.5702136638888725e-06,6.354701707373906e-05,3.230075680007412e-05,2.684932185246418e-06,0.0004805001604643371,1.6675007447299368e-05,3.672005182762525e-05,0.007329563131631467,0.0002203104567438149,0.0018095964959790002,0.00014303598025515278,0.001894093732219954,2.8769462074491742e-05,0.7186204394767025,0.06860751435876582,5.144957268303414e-06,0.00561627573935214,0.00038614694230706275,0.008100060083117871,0.0008293284624659335,0.18565579497416476,4.59099473677691e-06
