,sentence,label,stripped sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis,sentence tokens,length of sentence
0,وبالطبع؛ لا تعني الإشارة إلى مجالس الثقافة النسوية -من سكينة إلى مَيْ- سوى التأكيد على شيوع وعموم تلك الظاهرة الثقافية العربية؛ إذْ كانت تستقطب كل طبقات وتنوعات المجتمعات الإسلامية عبر تاريخها منذ عهد الصحابة تلك الظاهرة، ومع التحولات السياسية والثقافية الكبرى أضحت تلك الصالونات إحدى أوثق ركائز قصور الحكم وأبرز سمات بيوت الأعيان من مثقفي المجتمع، ومع ظهور صناعة الكتابة والتدوين باتت مكوّنا لازما في أنشطة أسواق الكتب وحوانيت الورّاقين.,JAZ,وبالطبع لا تعني الإشارة إلى مجالس الثقافة النسوية من سكينة إلى مَيْ سوى التأكيد على شيوع وعموم تلك الظاهرة الثقافية العربية إذْ كانت تستقطب كل طبقات وتنوعات المجتمعات الإسلامية عبر تاريخها منذ عهد الصحابة تلك الظاهرة ومع التحولات السياسية والثقافية الكبرى أضحت تلك الصالونات إحدى أوثق ركائز قصور الحكم وأبرز سمات بيوت الأعيان من مثقفي المجتمع ومع ظهور صناعة الكتابة والتدوين باتت مكوّنا لازما في أنشطة أسواق الكتب وحوانيت الورّاقين,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.1654966994705953e-06,1.0411928224983563e-05,2.1846430717272505e-06,6.050275868678246e-06,1.023887127678492e-06,1.5145172679110484e-06,4.473836120118683e-07,1.960900478048623e-07,1.6343747736891863e-06,1.0211238145903996e-06,2.185110235636905e-06,3.6474587452133475e-07,1.829669688511521e-06,3.1138627307458393e-06,7.35481895640734e-07,7.56451938229628e-05,1.3206324836970125e-07,0.9977493666687067,0.002121105979219775,2.158467482124587e-07,1.4963311596745672e-05,1.4164067464550399e-06,1.6963536614326645e-06,2.4532688565592904e-07,1.173074424974721e-07,2.169509874525595e-07,"['وبالطبع', 'لا', 'تعني', 'الإشارة', 'إلى', 'مجالس', 'الثقافة', 'النسوية', 'من', 'سكينة', 'إلى', 'مَيْ', 'سوى', 'التأكيد', 'على', 'شيوع', 'وعموم', 'تلك', 'الظاهرة', 'الثقافية', 'العربية', 'إذْ', 'كانت', 'تستقطب', 'كل', 'طبقات', 'وتنوعات', 'المجتمعات', 'الإسلامية', 'عبر', 'تاريخها', 'منذ', 'عهد', 'الصحابة', 'تلك', 'الظاهرة', 'ومع', 'التحولات', 'السياسية', 'والثقافية', 'الكبرى', 'أضحت', 'تلك', 'الصالونات', 'إحدى', 'أوثق', 'ركائز', 'قصور', 'الحكم', 'وأبرز', 'سمات', 'بيوت', 'الأعيان', 'من', 'مثقفي', 'المجتمع', 'ومع', 'ظهور', 'صناعة', 'الكتابة', 'والتدوين', 'باتت', 'مكوّنا', 'لازما', 'في', 'أنشطة', 'أسواق', 'الكتب', 'وحوانيت', 'الورّاقين']",70
1,أما الفنون والمهارات التي صاحبت هذه الظاهرة -وما ولّدته من شبكات ثقافية واتجاهات أدبية وتوظيفات تعبيرية- فمن الصعب أن ترصد تفاصيلها حصرا؛ فعدا أنها كانت تُسْهم في إنضاج كسب الثقافة وتقوية الآداب وبلورة الأفكار لدى مرتاديها، فإنها كانت كذلك مسرحا لاختراع فنون الأداء الدرامي التمثيلي وما يلزم ذلك على صعيد أساليب التجميل ونمط الأزياء!,JAZ,أما الفنون والمهارات التي صاحبت هذه الظاهرة وما ولّدته من شبكات ثقافية واتجاهات أدبية وتوظيفات تعبيرية فمن الصعب أن ترصد تفاصيلها حصرا فعدا أنها كانت تُسْهم في إنضاج كسب الثقافة وتقوية الآداب وبلورة الأفكار لدى مرتاديها فإنها كانت كذلك مسرحا لاختراع فنون الأداء الدرامي التمثيلي وما يلزم ذلك على صعيد أساليب التجميل ونمط الأزياء,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,9.885294987367685e-08,1.8681621023182772e-06,1.5797426965613118e-07,7.000263416004769e-07,1.6385153775872967e-07,8.015439615819116e-07,3.296760989396116e-07,3.3308274007425294e-08,5.660647287486646e-07,2.5776256695653487e-07,3.06422552102011e-07,1.807493429079555e-07,5.399291812731353e-07,1.12562800473861e-06,2.085786439085062e-07,1.506369369528688e-05,5.0602349903173564e-08,0.9183311155120676,0.08162884272095049,3.325712969678752e-08,1.526418245910343e-05,2.769536689944458e-07,1.3912292309650268e-06,2.0720838717889922e-07,9.429450365166735e-08,3.218150008942848e-07,"['أما', 'الفنون', 'والمهارات', 'التي', 'صاحبت', 'هذه', 'الظاهرة', 'وما', 'ولّدته', 'من', 'شبكات', 'ثقافية', 'واتجاهات', 'أدبية', 'وتوظيفات', 'تعبيرية', 'فمن', 'الصعب', 'أن', 'ترصد', 'تفاصيلها', 'حصرا', 'فعدا', 'أنها', 'كانت', 'تُسْهم', 'في', 'إنضاج', 'كسب', 'الثقافة', 'وتقوية', 'الآداب', 'وبلورة', 'الأفكار', 'لدى', 'مرتاديها', 'فإنها', 'كانت', 'كذلك', 'مسرحا', 'لاختراع', 'فنون', 'الأداء', 'الدرامي', 'التمثيلي', 'وما', 'يلزم', 'ذلك', 'على', 'صعيد', 'أساليب', 'التجميل', 'ونمط', 'الأزياء']",54
2,"وندرك من ذلك مدى تفطّن المجتمع العربي -منذ عصر الجاهلية- إلى أهمية إيجاد فضاءات عامة لإقامة الفعاليات الشعرية والمهرجانات الخطابية، فقادتهم رحلة البحث تلك إلى اختبار الأسواق خروجا بالشعر والأدب من نطاق التفاعل العائلي واللقاءات المصغرة إلى حيث يلتقي الجميع ويكون التفاعل العامّ على أشدّه، على نحو ما تحققه جلسات التنافس الشعري في ""أسواق العرب"".",JAZ,وندرك من ذلك مدى تفطّن المجتمع العربي منذ عصر الجاهلية إلى أهمية إيجاد فضاءات عامة لإقامة الفعاليات الشعرية والمهرجانات الخطابية فقادتهم رحلة البحث تلك إلى اختبار الأسواق خروجا بالشعر والأدب من نطاق التفاعل العائلي واللقاءات المصغرة إلى حيث يلتقي الجميع ويكون التفاعل العامّ على أشدّه على نحو ما تحققه جلسات التنافس الشعري في أسواق العرب,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.8356941307480108e-09,1.4713422147408244e-07,3.3956919658152223e-09,8.579764389870896e-09,1.130517351205695e-09,1.1375532087311984e-08,2.2752075333215868e-09,2.3666883854330627e-10,7.036304125691805e-09,2.9649344179260595e-09,4.725601365352131e-09,1.3046693603120907e-09,1.1573728737543923e-08,9.22355668608516e-09,7.290537079601105e-10,1.6690114890003048e-06,8.995622234111812e-10,0.9984611650094546,0.0015364928930114976,6.832461732331385e-10,4.463285639484144e-07,6.380614397290256e-09,3.8517062547983575e-09,6.295912563170501e-10,2.98799930893614e-10,4.92814401144626e-10,"['وندرك', 'من', 'ذلك', 'مدى', 'تفطّن', 'المجتمع', 'العربي', 'منذ', 'عصر', 'الجاهلية', 'إلى', 'أهمية', 'إيجاد', 'فضاءات', 'عامة', 'لإقامة', 'الفعاليات', 'الشعرية', 'والمهرجانات', 'الخطابية', 'فقادتهم', 'رحلة', 'البحث', 'تلك', 'إلى', 'اختبار', 'الأسواق', 'خروجا', 'بالشعر', 'والأدب', 'من', 'نطاق', 'التفاعل', 'العائلي', 'واللقاءات', 'المصغرة', 'إلى', 'حيث', 'يلتقي', 'الجميع', 'ويكون', 'التفاعل', 'العامّ', 'على', 'أشدّه', 'على', 'نحو', 'ما', 'تحققه', 'جلسات', 'التنافس', 'الشعري', 'في', 'أسواق', 'العرب']",55
3,وبعيدا عن فضاء الأسواق الجامعة والصاخبة؛ انبرت أطياف المجتمع العربي لعقد مجالس الأدب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع إبداعاتهم، سواء كان ذلك بين جدران البيوت أو في ظلال الكعبة أو في خضم صخب الأسواق، بل وفي الطرقات وخلال الأسفار. وكان ذلك تعبيرا -منذ وقت باكر- عن أن الأدب مادة تداولية من الدرجة الأولى تتخذ من المجالس العامة قنوات مرور لارتباط الجميع بها,JAZ,وبعيدا عن فضاء الأسواق الجامعة والصاخبة انبرت أطياف المجتمع العربي لعقد مجالس الأدب ومسامراته استماعا لما ينتجه الشعراء من نصوص وتفاعلا مع إبداعاتهم سواء كان ذلك بين جدران البيوت أو في ظلال الكعبة أو في خضم صخب الأسواق بل وفي الطرقات وخلال الأسفار وكان ذلك تعبيرا منذ وقت باكر عن أن الأدب مادة تداولية من الدرجة الأولى تتخذ من المجالس العامة قنوات مرور لارتباط الجميع بها,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.723211300869073e-06,2.4901307099228003e-05,2.5265567081770123e-06,1.411084536266054e-05,1.5543745773737805e-06,1.8662872514923808e-05,2.7922424497112687e-06,1.2772883088132831e-06,1.0597237121591587e-05,3.502099628371833e-06,9.328201630784114e-06,2.056227851125019e-06,5.292037944437169e-06,1.2910961755189646e-05,3.4088453569613956e-06,8.896971836150884e-05,5.798778489519764e-07,0.06374994378709348,0.9359162389401317,4.680530243018504e-07,0.00010616313702218729,5.114573085011468e-06,1.3585556568320605e-05,5.655560961596154e-07,2.2895444550274497e-06,4.369467032553096e-07,"['وبعيدا', 'عن', 'فضاء', 'الأسواق', 'الجامعة', 'والصاخبة', 'انبرت', 'أطياف', 'المجتمع', 'العربي', 'لعقد', 'مجالس', 'الأدب', 'ومسامراته', 'استماعا', 'لما', 'ينتجه', 'الشعراء', 'من', 'نصوص', 'وتفاعلا', 'مع', 'إبداعاتهم', 'سواء', 'كان', 'ذلك', 'بين', 'جدران', 'البيوت', 'أو', 'في', 'ظلال', 'الكعبة', 'أو', 'في', 'خضم', 'صخب', 'الأسواق', 'بل', 'وفي', 'الطرقات', 'وخلال', 'الأسفار', 'وكان', 'ذلك', 'تعبيرا', 'منذ', 'وقت', 'باكر', 'عن', 'أن', 'الأدب', 'مادة', 'تداولية', 'من', 'الدرجة', 'الأولى', 'تتخذ', 'من', 'المجالس', 'العامة', 'قنوات', 'مرور', 'لارتباط', 'الجميع', 'بها']",66
4,العام المنصرم، صارعت جل متاحف العالم من أجل البقاء، وتوقع أبرز المتخصصين في هذا المجال أن تقفل العديد منها أبوابها إلى الأبد وأن تعلن إفلاسها. لكن تلك الصورة القاتمة لم تكن الوحيدة، فقد انتعشت بالمقابل أنشطة بديلة.,JAZ,العام المنصرم صارعت جل متاحف العالم من أجل البقاء وتوقع أبرز المتخصصين في هذا المجال أن تقفل العديد منها أبوابها إلى الأبد وأن تعلن إفلاسها لكن تلك الصورة القاتمة لم تكن الوحيدة فقد انتعشت بالمقابل أنشطة بديلة,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.2898559141332745e-08,1.3050918856953118e-07,1.766150747998335e-08,6.89500916497285e-08,7.450390882925677e-09,6.517970333252618e-08,1.0789930323037712e-08,1.4000335942762852e-09,2.651347794658137e-08,1.5936375099458617e-08,4.0147715926172184e-08,1.9273740558576127e-09,4.0090311495097044e-08,7.202546802202171e-08,1.0019087898786443e-08,1.092495450539287e-05,4.87831427696906e-09,0.9995305632179933,0.00045651777676091224,1.2490880929609007e-09,1.370148989870452e-06,1.2571383049280619e-08,7.192977703050239e-08,2.0319232824078015e-09,6.778145717344887e-09,2.9639034098613664e-09,"['العام', 'المنصرم', 'صارعت', 'جل', 'متاحف', 'العالم', 'من', 'أجل', 'البقاء', 'وتوقع', 'أبرز', 'المتخصصين', 'في', 'هذا', 'المجال', 'أن', 'تقفل', 'العديد', 'منها', 'أبوابها', 'إلى', 'الأبد', 'وأن', 'تعلن', 'إفلاسها', 'لكن', 'تلك', 'الصورة', 'القاتمة', 'لم', 'تكن', 'الوحيدة', 'فقد', 'انتعشت', 'بالمقابل', 'أنشطة', 'بديلة']",37
5,"لجأت العديد من المؤسسات الفنية إلى عرض أعمالها عبر الإنترنت استجابةً لقواعد السلامة والإغلاق الحكومية، لتحول نفسها إلى ما أسماه المنظّر الفني الفرنسي أندريه مالرو ""متاحف بلا جدران"". لكن تجاوز جدران صالات العرض الخاصة بها لم يحلّ النوع الآخر من الحواجز المستعصية داخل المتاحف: الظلم العنصري.",JAZ,لجأت العديد من المؤسسات الفنية إلى عرض أعمالها عبر الإنترنت استجابةً لقواعد السلامة والإغلاق الحكومية لتحول نفسها إلى ما أسماه المنظّر الفني الفرنسي أندريه مالرو متاحف بلا جدران لكن تجاوز جدران صالات العرض الخاصة بها لم يحلّ النوع الآخر من الحواجز المستعصية داخل المتاحف الظلم العنصري,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.2278726000226173e-09,1.1532146543409116e-07,5.83977753744073e-09,1.2690317359378796e-08,1.7356163211839591e-09,1.771061962114729e-08,5.337126115787066e-09,3.5545484807979667e-10,1.0595227399665526e-08,3.5895379216512484e-09,4.601507236717607e-09,2.3492351985329044e-09,1.0298964337841141e-08,2.18938341123485e-08,1.1365841527955591e-09,4.2211764523915366e-05,8.418168159317583e-10,0.9987802012731112,0.0011765948251112462,9.462115346517833e-10,7.50391510625434e-07,6.093004017757486e-09,1.4551970268584199e-08,5.007216118179045e-10,2.5515098173154077e-09,5.773688090027116e-10,"['لجأت', 'العديد', 'من', 'المؤسسات', 'الفنية', 'إلى', 'عرض', 'أعمالها', 'عبر', 'الإنترنت', 'استجابةً', 'لقواعد', 'السلامة', 'والإغلاق', 'الحكومية', 'لتحول', 'نفسها', 'إلى', 'ما', 'أسماه', 'المنظّر', 'الفني', 'الفرنسي', 'أندريه', 'مالرو', 'متاحف', 'بلا', 'جدران', 'لكن', 'تجاوز', 'جدران', 'صالات', 'العرض', 'الخاصة', 'بها', 'لم', 'يحلّ', 'النوع', 'الآخر', 'من', 'الحواجز', 'المستعصية', 'داخل', 'المتاحف', 'الظلم', 'العنصري']",46
6,"في تقريره نشره موقع ""ذا ريدر"" الأميركي التابع لمعهد ماساتشوستس للتكنولوجيا (Thereader.MITpress)، أشار ديفيد جوسليت إلى أنه على خلفية مقتل جورج فلويد، سلط وابل من التعليقات والمنشورات على مواقع التواصل الاجتماعي الضوء على هذه الحواجز الثقافية، ونوقشت مظاهر العنصرية الممنهجة بين الفنانين الأميركيين المحترفين والمرموقين.",JAZ,في تقريره نشره موقع ذا ريدر الأميركي التابع لمعهد ماساتشوستس للتكنولوجيا ThereaderMITpress أشار ديفيد جوسليت إلى أنه على خلفية مقتل جورج فلويد سلط وابل من التعليقات والمنشورات على مواقع التواصل الاجتماعي الضوء على هذه الحواجز الثقافية ونوقشت مظاهر العنصرية الممنهجة بين الفنانين الأميركيين المحترفين والمرموقين,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.007592645054751e-05,0.00023119350801590878,6.599936463645082e-06,0.0004369644380357254,2.552293019005344e-05,8.049069062003516e-05,3.38017454685826e-05,1.7559220975482037e-06,0.00015238033489039433,8.39981418098149e-06,0.00029111671445319816,6.882876130921582e-05,1.0453022569284933e-05,0.0002079028718615107,8.459445493770435e-05,0.0008456139775681822,9.299609406089073e-06,0.09945536620989483,0.8922337308308554,1.3078525593611403e-06,0.005044624902758647,0.0001567700138665055,0.0005507169110884967,4.347918471237988e-05,5.4418872856587145e-06,3.5675484601485736e-06,"['في', 'تقريره', 'نشره', 'موقع', 'ذا', 'ريدر', 'الأميركي', 'التابع', 'لمعهد', 'ماساتشوستس', 'للتكنولوجيا', 'ThereaderMITpress', 'أشار', 'ديفيد', 'جوسليت', 'إلى', 'أنه', 'على', 'خلفية', 'مقتل', 'جورج', 'فلويد', 'سلط', 'وابل', 'من', 'التعليقات', 'والمنشورات', 'على', 'مواقع', 'التواصل', 'الاجتماعي', 'الضوء', 'على', 'هذه', 'الحواجز', 'الثقافية', 'ونوقشت', 'مظاهر', 'العنصرية', 'الممنهجة', 'بين', 'الفنانين', 'الأميركيين', 'المحترفين', 'والمرموقين']",45
7,"عندما يتعلق الأمر بالرعاة، فقد كشفت حركة ""إنهاء الاستعمار هنا"" في تحركاتها ضد متحف ""ويتني"" والمتاحف الأخرى، عن مدى تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسة. ومع ذلك، لم يتم إيلاء اهتمام كاف لإمكانية الوصول للفنون، على الرغم من انتعاش فكرة ""المتحف بلا جدران"" .",JAZ,عندما يتعلق الأمر بالرعاة فقد كشفت حركة إنهاء الاستعمار هنا في تحركاتها ضد متحف ويتني والمتاحف الأخرى عن مدى تناقض قيم الممولين وتحريفهم للقيم التي تفتخر بها المؤسسة ومع ذلك لم يتم إيلاء اهتمام كاف لإمكانية الوصول للفنون على الرغم من انتعاش فكرة المتحف بلا جدران ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.753997730073896e-08,1.1906200324623353e-06,1.0709658736747108e-07,1.0806577659273288e-07,4.582646648495348e-08,2.0918829462385288e-07,5.596287348360584e-08,4.30535736338557e-09,1.5726713563009337e-07,7.297535225540566e-08,1.2627267617345098e-07,2.009356895439467e-08,2.4866338884080573e-07,2.1220464984851429e-07,2.2081820133691327e-08,2.291612475792649e-05,1.5644169179513782e-08,0.9988508582875476,0.0011162876372079323,2.4218772803672345e-08,7.070660315110667e-06,8.633267140189705e-08,8.928491902366286e-08,1.6506394028077824e-08,1.058324432457668e-08,1.6556042885650618e-08,"['عندما', 'يتعلق', 'الأمر', 'بالرعاة', 'فقد', 'كشفت', 'حركة', 'إنهاء', 'الاستعمار', 'هنا', 'في', 'تحركاتها', 'ضد', 'متحف', 'ويتني', 'والمتاحف', 'الأخرى', 'عن', 'مدى', 'تناقض', 'قيم', 'الممولين', 'وتحريفهم', 'للقيم', 'التي', 'تفتخر', 'بها', 'المؤسسة', 'ومع', 'ذلك', 'لم', 'يتم', 'إيلاء', 'اهتمام', 'كاف', 'لإمكانية', 'الوصول', 'للفنون', 'على', 'الرغم', 'من', 'انتعاش', 'فكرة', 'المتحف', 'بلا', 'جدران']",46
8,"ونقل عن العضو السابق في اللجنة المالية بالبرلمان العراقي وفي هيئة النزاهة رحيم الدراجي، قوله ""في العراق، لا يصعب العثور على رجال فاسدين، بل الصعب هو العثور على رجال شرفاء. الجميع متورط، لدرجة أن إدانة شخص ما أمر محفوف بالمخاطر. سأكون صريحا، جميع العقود التي اطلعت إليها خلال فترة عملي في اللجنة التي دامت عامين، كانت مزورة"".",JAZ,ونقل عن العضو السابق في اللجنة المالية بالبرلمان العراقي وفي هيئة النزاهة رحيم الدراجي قوله في العراق لا يصعب العثور على رجال فاسدين بل الصعب هو العثور على رجال شرفاء الجميع متورط لدرجة أن إدانة شخص ما أمر محفوف بالمخاطر سأكون صريحا جميع العقود التي اطلعت إليها خلال فترة عملي في اللجنة التي دامت عامين كانت مزورة,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.9227399512431596e-08,2.8117938473827166e-07,5.1643996298441255e-09,9.222768224943997e-08,1.3277651111241612e-08,1.2306976907085776e-07,2.0315214774423297e-08,3.5495386737111642e-09,9.81967165563847e-08,1.7209908537313924e-08,5.213047389731784e-08,1.3881919418758078e-08,5.6237830705442816e-08,7.507369374612031e-08,2.442806855724425e-08,3.134945973437929e-06,9.063453599815923e-09,0.9995844628113983,0.0004090406075809176,7.555121153561314e-09,2.309969054355642e-06,5.909305592793477e-08,5.7309452475546775e-08,7.848332292597301e-09,6.488777477902414e-09,9.138148940895209e-09,"['ونقل', 'عن', 'العضو', 'السابق', 'في', 'اللجنة', 'المالية', 'بالبرلمان', 'العراقي', 'وفي', 'هيئة', 'النزاهة', 'رحيم', 'الدراجي', 'قوله', 'في', 'العراق', 'لا', 'يصعب', 'العثور', 'على', 'رجال', 'فاسدين', 'بل', 'الصعب', 'هو', 'العثور', 'على', 'رجال', 'شرفاء', 'الجميع', 'متورط', 'لدرجة', 'أن', 'إدانة', 'شخص', 'ما', 'أمر', 'محفوف', 'بالمخاطر', 'سأكون', 'صريحا', 'جميع', 'العقود', 'التي', 'اطلعت', 'إليها', 'خلال', 'فترة', 'عملي', 'في', 'اللجنة', 'التي', 'دامت', 'عامين', 'كانت', 'مزورة']",57
9,وتحظى مليشيات أخرى بدعم الأحزاب السياسية أو التيارات الدينية، وأشهرها جيش المهدي التابع للزعيم الشيعي مقتدى الصدر، والحشد الشعبي الذي تشكّل عام 2014 بدعوة من المرجع الشيعي الأعلى في العراق علي السيستاني. وتسيطر هذه المليشيات اليوم على الشارع وتسن القوانين وتمارس صلاحيات الشرطة والجيش العراقيين.,JAZ,وتحظى مليشيات أخرى بدعم الأحزاب السياسية أو التيارات الدينية وأشهرها جيش المهدي التابع للزعيم الشيعي مقتدى الصدر والحشد الشعبي الذي تشكّل عام 2014 بدعوة من المرجع الشيعي الأعلى في العراق علي السيستاني وتسيطر هذه المليشيات اليوم على الشارع وتسن القوانين وتمارس صلاحيات الشرطة والجيش العراقيين,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.9702519697289215e-08,1.5178186843405782e-07,5.2231460855241285e-09,2.6141490108535715e-07,6.9099559139744235e-09,4.903389463601349e-08,8.87080900247391e-09,5.487141466704687e-09,5.171664848737719e-07,9.504516079944107e-09,1.822004171446939e-07,1.925021504542574e-07,3.553362868581275e-08,6.918918630171308e-07,2.490977460287854e-06,3.2959938899482958e-06,3.184799939457131e-09,0.9990578259984745,0.0009154683981098417,3.8405637973439075e-09,1.7711818487460463e-05,2.3827324779580403e-07,6.66736728399438e-07,9.44111608106929e-08,4.821615510538017e-08,4.927625467997578e-09,"['وتحظى', 'مليشيات', 'أخرى', 'بدعم', 'الأحزاب', 'السياسية', 'أو', 'التيارات', 'الدينية', 'وأشهرها', 'جيش', 'المهدي', 'التابع', 'للزعيم', 'الشيعي', 'مقتدى', 'الصدر', 'والحشد', 'الشعبي', 'الذي', 'تشكّل', 'عام', '2014', 'بدعوة', 'من', 'المرجع', 'الشيعي', 'الأعلى', 'في', 'العراق', 'علي', 'السيستاني', 'وتسيطر', 'هذه', 'المليشيات', 'اليوم', 'على', 'الشارع', 'وتسن', 'القوانين', 'وتمارس', 'صلاحيات', 'الشرطة', 'والجيش', 'العراقيين']",45
