,sentence,label,badspelling sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وحق الرب الا العذاب عدنا الكورة حنا ف هاد إفريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديدة او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,TMS,وحق الرب الا العذاب عدنا الكوره حنا ف هاد افريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديده او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,9.804605841733677e-11,1.1959961335489332e-06,1.4779901685680345e-11,1.9873421795533128e-10,7.697108998272583e-11,8.344274593295829e-10,4.833028645348124e-10,1.6423431201713501e-10,1.7317522829307476e-09,1.3048939419303542e-09,4.5939033794471035e-10,7.484879999825097e-10,0.0016148524023632935,1.3113544206472226e-09,3.372261168245041e-10,5.384400927686079e-09,8.402666038798296e-11,1.0388902035977938e-11,4.5151248230822916e-10,0.9983838696053626,8.131764436678849e-10,2.2309387884880896e-09,9.809619732951999e-10,1.4825611411139049e-08,4.565371309993705e-08,3.797808708847177e-09
1,الى رجعتي فالزمن للماضي..كايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالك..والحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيه....خط زمني أخر معندو تاعلاقة بلي قبل لا أخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,TMS,الي رجعتي فالزمن للماضيكايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالكوالحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيهخط زمني اخر معندو تاعلاقه بلي قبل لا اخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.695755865913804e-10,1.3657788092671932e-06,2.5890749270811174e-11,1.086854412079667e-09,3.833398678123149e-10,2.3399445524227193e-09,1.2697852147995012e-09,1.4777874370102994e-10,1.0397345191100797e-08,1.457444747454274e-09,1.4999625599811704e-09,1.3676474900813819e-09,0.015890441839449525,1.3570231300128515e-08,4.350333058490464e-10,8.226970946100136e-09,2.5387048873399106e-10,2.7782263816255803e-11,1.898402846410292e-09,0.9841080518816769,1.3127339251143857e-09,2.6084894356005447e-09,1.210091058312787e-09,2.724972773527253e-08,4.847151679413345e-08,1.4489645050070331e-08
2,مراكشية بي لايك ضحك ديال لقلاوي ياربي السلامة هاهوما جاو مقروصين غايجيو جاعرين بالجعورية و يكتبو الجملة الشهيرة راه غير خطة باش اعرف الاسرار ديالهم و يدمرهم العياشة كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,TMS,مراكشيه بي لايك ضحك ديال لقلاوي ياربي السلامه هاهوما جاو مقروصين غايجيو جاعرين بالجعوريه و يكتبو الجمله الشهيره راه غير خطه باش اعرف الاسرار ديالهم و يدمرهم العياشه كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,6.073323350876095e-09,0.1974067454989184,1.2319331556747143e-09,1.3768414342425762e-08,2.1610001129976653e-08,1.7292342867426555e-07,1.1004690280545461e-07,1.1386319866644181e-08,9.396342515445999e-07,8.620289516871632e-08,2.1113030426295087e-08,4.6453116700457234e-08,0.00031911323458923903,1.0978199267831868e-07,1.80992211635632e-08,3.764607936471934e-07,4.9977789362826935e-08,1.462782154869196e-09,7.945934563807866e-08,0.8018596180951869,2.512664122535849e-07,2.438131342540297e-07,4.260738078575493e-07,0.00035000513629656645,5.947115819848388e-05,2.0600379139534812e-06
3,تاثير الفراشة تخيل كن سمح محمد الخامس فالمقاومة ديال دزاير ومشا تفاوض على الاراضي ي اصلا مغربية غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,TMS,تاثير الفراشه تخيل كن سمح محمد الخامس فالمقاومه ديال دزاير ومشا تفاوض علي الاراضي ي اصلا مغربيه غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.9073579212483195e-09,0.0009393933042442079,3.1768976699575097e-10,1.866203071812922e-09,3.968434873996525e-09,1.569817010818991e-09,1.9384199615978836e-09,5.520838090704801e-10,2.834634415266597e-08,8.66054738187328e-09,1.912598480565758e-09,1.4262042862576054e-08,0.004441184459872426,2.448183273493462e-08,8.861278675211988e-10,8.589130276484745e-08,1.5536697601853346e-09,7.184488046945674e-10,1.6639407932631498e-08,0.9946189611644047,1.458618951266291e-08,8.41150231577064e-09,9.80387291190859e-09,2.8130084351228777e-08,1.8345400980206434e-07,2.1213490597119595e-08
4,مامشاش محمد الخامس تفاوض على الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبة ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكلة,TMS,مامشاش محمد الخامس تفاوض علي الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبه ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكله,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.4121975548498437e-09,1.1770677292809443e-05,7.208463124362283e-11,6.917231137859685e-10,2.366473976511047e-10,5.489225476517396e-10,6.966969528186793e-10,2.3297687239469126e-10,7.000229497507079e-09,5.564267569782396e-10,1.2257894555805442e-09,2.269038052597014e-09,0.2504152491817586,7.15608000619803e-09,3.5734794735981907e-10,1.2708440175238518e-09,3.328157403035571e-10,4.3157068516962076e-11,8.162173395373324e-10,0.7495728210257568,5.65399291766779e-10,1.9556767631827404e-09,1.4756523777673252e-09,1.1284001623104363e-08,1.1395863132967036e-07,4.956635457049107e-09
5,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزة ماشي اي ماتشات هنا فهاد الكروب فريق متخصصة فلعبة كيتفرجو فيهم او حافضين اللعابة كيفما كاتشوف فتصاور كوطاط الهربة دخل تأكد براسك نسبة التوقعات الصحيحة اكثر,TMS,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزه ماشي اي ماتشات هنا فهاد الكروب فريق متخصصه فلعبه كيتفرجو فيهم او حافضين اللعابه كيفما كاتشوف فتصاور كوطاط الهربه دخل تاكد براسك نسبه التوقعات الصحيحه اكثر,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,3.189243156187457e-10,2.0079716715152752e-07,4.5175501173655413e-10,1.831389982201764e-09,2.1579119470199733e-09,1.328523781587105e-08,1.2068170313827418e-08,2.521213122736724e-10,5.81136830616754e-08,4.35446484442715e-09,1.5690807821548136e-09,7.367741587671449e-09,0.9997984423338168,1.7951652849674568e-08,5.509408564044409e-10,8.079868967401624e-09,3.301322045162258e-09,6.985929988224471e-11,4.0488031471354735e-08,0.00020077352560329842,1.1217721745866676e-08,2.056660528335443e-08,2.7333597733506672e-08,5.501280883407711e-08,2.9067893418723965e-07,6.321588850501527e-09
6,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخرى وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو على الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوى الوزراء يا حصرة,TMS,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخري وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو علي الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوي الوزراء يا حصره,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,8.331737622531005e-08,1.4722275136833337e-05,8.524229198344211e-10,1.8566451479849423e-07,2.9143127876207736e-09,1.7973179573382518e-08,8.986903370640957e-09,1.6175121924538854e-08,4.989822294759334e-07,1.4610994156044712e-08,2.2595101344520439e-07,1.5617904733249198e-07,0.012491437549337509,2.0713840933780535e-07,8.526045488273716e-08,7.836656678884072e-08,1.231110536047957e-08,1.5308118105694906e-10,2.6967373066289734e-08,0.9874692495024988,3.549529227049179e-08,1.594071408245358e-05,2.7537103000079823e-08,3.7673209723810066e-06,2.975641078901552e-06,2.2216039110946195e-07
7,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعة وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,TMS,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعه وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.009737108280938e-10,6.827828368438144e-06,5.720223690295116e-12,2.4015353277063107e-10,1.4131870914515077e-10,6.769685096509836e-11,6.703583239732247e-11,1.263857592468784e-10,3.007192117505166e-09,2.5740817056645655e-10,5.787455343014325e-10,1.1076421932109238e-09,0.00012802196677532277,1.2990936182631996e-09,3.348873158289947e-10,1.2419529748198944e-09,1.1278293753280734e-10,3.751427483704642e-12,2.598178520492642e-10,0.9998651190149304,2.4556234732147094e-10,7.135944723086779e-10,6.519372038029232e-10,3.8500793903395746e-09,1.4118240398574046e-08,2.4579532557014817e-09
8,ماشفتيش شلاضة بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكلة بغينا لخاوي بروجولة اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,TMS,ماشفتيش شلاضه بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكله بغينا لخاوي بروجوله اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,2.2179285442494494e-09,5.991212528476845e-07,9.550560447184618e-11,1.6354058349244298e-09,7.985053921960655e-10,9.11750883710332e-10,9.128359066870643e-10,6.356555199113884e-10,3.584078364076851e-09,9.280744114694923e-10,1.8444577853422907e-09,2.2063614894217587e-08,0.0004462983112956533,9.489476450554423e-09,1.0710639940261341e-09,6.133507706510825e-08,8.292492024680104e-10,1.083743237580375e-10,2.94649021988663e-09,0.9995528215904665,5.503646351341085e-09,2.48826101320526e-09,7.960084469749079e-09,5.333647345286055e-08,8.862298630317138e-08,1.1657988873660155e-08
9,شفت هاد طرول وانا نتفكرك و أنا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمة لجنب للحنك و نتأكد أن الما ميقيصهاش عاد نشرب جغمة نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,TMS,شفت هاد طرول وانا نتفكرك و انا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمه لجنب للحنك و نتاكد ان الما ميقيصهاش عاد نشرب جغمه نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.742963059588726e-10,1.9338037698765282e-07,1.1919824007063146e-11,3.726940921662101e-10,1.0062044028284792e-10,1.1951777779522442e-10,3.354220715568081e-10,2.1976377800136495e-10,1.2573598219202268e-08,5.322411026124627e-10,6.636471742737883e-10,2.4699606528215427e-09,0.10172511630467004,9.628601627979064e-10,2.224395740455279e-10,7.531673411806698e-10,1.3779666265743196e-10,2.5410194538942877e-12,4.955046315338183e-10,0.8982746472194969,3.739295442991037e-10,8.594692519565159e-09,6.397052973420409e-10,1.6601607215919863e-09,9.887290549203212e-09,1.7916866798662756e-09
