,sentence,label,decap sentence,decap 4 sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وحق الرب الا العذاب عدنا الكورة حنا ف هاد إفريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديدة او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,TMS,وحق الرب الا العذاب عدنا الكوره حنا ف هاد افريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديده او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,عدنا الكوره حنا ف هاد افريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديده او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.7853085634587601e-10,1.2826182308996492e-06,3.2408441701270216e-11,4.0304717684059675e-10,1.6988327862575547e-10,1.5750220175518704e-09,8.411820304123506e-10,3.0873451908813827e-10,3.047971677520577e-09,2.7268575957046557e-09,9.582036291640605e-10,7.697120531476354e-10,0.006452415054874025,2.238757590476453e-09,7.442811998735714e-10,1.159042525395275e-08,1.2512811438008016e-10,1.6116964317147726e-11,7.215219452786887e-10,0.9935461833107474,1.0874150836851363e-09,4.223136480453979e-09,1.4501101106577874e-09,2.1970408410022533e-08,5.7470630389380775e-08,6.3666627893990105e-09
1,الى رجعتي فالزمن للماضي..كايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالك..والحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيه....خط زمني أخر معندو تاعلاقة بلي قبل لا أخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,TMS,الي رجعتي فالزمن للماضيكايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالكوالحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيهخط زمني اخر معندو تاعلاقه بلي قبل لا اخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,داك الماضي ليرجعتيليه نتا هوا المستقبل ديالكوالحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيهخط زمني اخر معندو تاعلاقه بلي قبل لا اخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,4.5046096033795834e-10,4.917520475944457e-07,3.019749288688343e-11,5.589605457864743e-10,2.951654698600454e-10,3.648432065576321e-10,1.9095048259397894e-10,7.887329812587971e-11,4.32941912853074e-09,8.909425010332704e-10,7.808518477445235e-10,7.12475576613408e-10,0.012494538264822466,7.814397069465032e-09,2.0248299849697843e-10,3.961837587393244e-09,1.1736010119747554e-10,2.584841929409875e-11,6.560593029800035e-10,0.9875049178250105,6.750866658824704e-10,9.251305310555505e-10,6.699154967634984e-10,7.360056333315467e-09,1.570269393238902e-08,5.364110537301075e-09
2,مراكشية بي لايك ضحك ديال لقلاوي ياربي السلامة هاهوما جاو مقروصين غايجيو جاعرين بالجعورية و يكتبو الجملة الشهيرة راه غير خطة باش اعرف الاسرار ديالهم و يدمرهم العياشة كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,TMS,مراكشيه بي لايك ضحك ديال لقلاوي ياربي السلامه هاهوما جاو مقروصين غايجيو جاعرين بالجعوريه و يكتبو الجمله الشهيره راه غير خطه باش اعرف الاسرار ديالهم و يدمرهم العياشه كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,ديال لقلاوي ياربي السلامه هاهوما جاو مقروصين غايجيو جاعرين بالجعوريه و يكتبو الجمله الشهيره راه غير خطه باش اعرف الاسرار ديالهم و يدمرهم العياشه كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,2.496331759089474e-09,0.071683995719092,6.594876028227811e-10,5.5674336975677685e-09,7.982047742078159e-09,7.086293023678491e-08,4.04637980261768e-08,3.2897927222895518e-09,3.1757477334377473e-07,2.8624001199353263e-08,7.624720028048115e-09,2.009952922378087e-08,0.00047985964081287365,4.197328290480899e-08,6.676558235655978e-09,1.196324775673244e-07,2.1599347093031222e-08,5.953389154449966e-10,3.770677121527385e-08,0.9278115676981655,8.667436734705402e-08,8.762339488470977e-08,1.505700902662395e-07,1.1606481942527697e-05,1.1541911552526643e-05,3.70251960955615e-07
3,تاثير الفراشة تخيل كن سمح محمد الخامس فالمقاومة ديال دزاير ومشا تفاوض على الاراضي ي اصلا مغربية غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,TMS,تاثير الفراشه تخيل كن سمح محمد الخامس فالمقاومه ديال دزاير ومشا تفاوض علي الاراضي ي اصلا مغربيه غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,سمح محمد الخامس فالمقاومه ديال دزاير ومشا تفاوض علي الاراضي ي اصلا مغربيه غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,9.618501132933013e-10,4.114371406369339e-05,1.2854023279677408e-10,6.209328124070476e-10,1.1780898074391588e-09,4.922990077690283e-10,6.262061507878597e-10,2.662254427795137e-10,8.749761023440787e-09,2.42522843272212e-09,6.897339248597564e-10,5.408302249684815e-09,0.002794417684248579,8.821441836093317e-09,3.474702010561973e-10,2.8395924299320645e-08,3.534490721284036e-10,1.5821130195198245e-10,3.3259726284199566e-09,0.9971642977020196,3.3688902763654407e-09,1.7779928407502716e-09,2.8824231204441e-09,9.300463532886073e-09,5.368156007726377e-08,6.938699768325398e-09
4,مامشاش محمد الخامس تفاوض على الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبة ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكلة,TMS,مامشاش محمد الخامس تفاوض علي الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبه ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكله,علي الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبه ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكله,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,8.580764523450871e-10,5.183083809802983e-06,3.820664272981477e-11,4.684952303687999e-10,1.1721642453079843e-10,3.6433512793374814e-10,4.954822185731066e-10,1.6776978302887493e-10,4.005284336445819e-09,2.879352079050468e-10,9.050647134553435e-10,1.4225355647516334e-09,0.23514394866420507,3.879599112925765e-09,2.3606954328776977e-10,8.156070904124951e-10,2.17073959243028e-10,2.143272028712802e-11,3.969445967176084e-10,0.764850764598757,2.9273649109032806e-10,1.2342025788244172e-09,8.256518107886651e-10,7.397752089480591e-09,7.609078791372128e-08,3.1149685109300656e-09
5,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزة ماشي اي ماتشات هنا فهاد الكروب فريق متخصصة فلعبة كيتفرجو فيهم او حافضين اللعابة كيفما كاتشوف فتصاور كوطاط الهربة دخل تأكد براسك نسبة التوقعات الصحيحة اكثر,TMS,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزه ماشي اي ماتشات هنا فهاد الكروب فريق متخصصه فلعبه كيتفرجو فيهم او حافضين اللعابه كيفما كاتشوف فتصاور كوطاط الهربه دخل تاكد براسك نسبه التوقعات الصحيحه اكثر,دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزه ماشي اي ماتشات هنا فهاد الكروب فريق متخصصه فلعبه كيتفرجو فيهم او حافضين اللعابه كيفما كاتشوف فتصاور كوطاط الهربه دخل تاكد براسك نسبه التوقعات الصحيحه اكثر,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,5.968622387497383e-10,2.9030844333751883e-07,1.0322574174649801e-09,4.027733901361584e-09,5.1783469936421036e-09,1.942673270650592e-08,1.0847058786778085e-08,4.129536317631538e-10,9.32050740358777e-08,9.975389328608389e-09,3.371655403764493e-09,1.3254451265694511e-08,0.9996607565544356,3.5853009103835515e-08,1.2630761330814586e-09,1.676169862718698e-08,6.2780197464851984e-09,1.5666445938626233e-10,7.775741274968481e-08,0.0003377145992508877,1.9060088233834127e-08,3.95493040440007e-08,5.760862447180371e-08,1.1264269211612822e-07,6.98328863101832e-07,1.194990202815009e-08
6,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخرى وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو على الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوى الوزراء يا حصرة,TMS,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخري وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو علي الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوي الوزراء يا حصره,و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخري وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو علي الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوي الوزراء يا حصره,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.719773101164867e-08,7.640569592882766e-06,5.565075768297289e-10,1.7457857431545538e-07,1.982332869649505e-09,1.68278104284809e-08,8.385852796429188e-09,1.4249499353518815e-08,4.591849149278711e-07,1.0360368469576535e-08,2.2010253635885965e-07,1.754146656333759e-07,0.011831107596957989,2.0446848301554063e-07,7.189341861189722e-08,5.051083437129444e-08,1.192148165555155e-08,1.0641807570176068e-10,2.417024374852658e-08,0.9881438429474861,3.336943749697858e-08,1.075652918374016e-05,2.5037186977841454e-08,2.7582046429979495e-06,2.1074392438506274e-06,2.0639459470935963e-07
7,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعة وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,TMS,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعه وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعه وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.0399449335930247e-10,2.8634032785329093e-06,7.97962372494222e-12,2.8124565116223663e-10,2.0856154309653171e-10,6.904622529227513e-11,7.063590684330588e-11,9.056444162480385e-11,2.4709405021140812e-09,2.664230129071895e-10,5.07708828277472e-10,1.6278673803904396e-09,0.0012526535456962216,1.7664204067533251e-09,2.4882621448763037e-10,1.0041174579977865e-09,8.317485849136946e-11,4.8323944428283274e-12,2.5247999737784996e-10,0.9987444602253348,2.1334214969416938e-10,6.07779980693764e-10,6.345145009475547e-10,2.3261882591172857e-09,8.072177532066263e-09,1.7068691266487437e-09
8,ماشفتيش شلاضة بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكلة بغينا لخاوي بروجولة اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,TMS,ماشفتيش شلاضه بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكله بغينا لخاوي بروجوله اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكله بغينا لخاوي بروجوله اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,6.281376666651835e-10,2.91103256922946e-07,3.14743220591572e-11,7.270338154227931e-10,2.703889413753428e-10,2.6390399939791557e-10,3.16734586279252e-10,2.4381230714237213e-10,1.5296628371885135e-09,3.059837556179167e-10,6.423507502984747e-10,1.0401761493316638e-08,0.0002456287461242842,3.9132911185998875e-09,4.031158014891843e-10,4.559500710962835e-08,2.9727313484041515e-10,5.3722424794084186e-11,1.725208969781023e-09,0.9997539369501587,2.975828223243611e-09,9.450916831792318e-10,2.4193004975090067e-09,2.120814351059179e-08,4.4033133243203356e-08,4.270100129544075e-09
9,شفت هاد طرول وانا نتفكرك و أنا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمة لجنب للحنك و نتأكد أن الما ميقيصهاش عاد نشرب جغمة نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,TMS,شفت هاد طرول وانا نتفكرك و انا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمه لجنب للحنك و نتاكد ان الما ميقيصهاش عاد نشرب جغمه نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,نتفكرك و انا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمه لجنب للحنك و نتاكد ان الما ميقيصهاش عاد نشرب جغمه نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,9.930906263046937e-10,5.782872281140179e-06,1.1530099062861235e-10,3.267503102006553e-09,1.1178749611482267e-09,1.1689308800610306e-09,4.6862493995901666e-09,2.8541125671023303e-09,3.2182217327589525e-07,1.1509284198144103e-08,6.029951839070574e-09,2.7746321764732942e-08,0.9697448526942802,1.50825990058426e-08,5.2896969583924495e-09,2.6345772446914422e-08,1.551326022529639e-09,2.0646209567873243e-11,1.0528659744495926e-08,0.030248560842794227,1.9110729058608153e-08,1.4185877643832114e-07,1.1172884736484296e-08,1.9989024476685363e-08,1.5767623615641347e-07,1.3653499535819387e-08
